hip	simbad_id	ra_deg	dec_deg	v_mag
34	HD 224758	0.099583	26.918108	6.434
43	HD 224784	0.128698	59.559681	6.177
63	V* CG And	0.181810	45.253335	6.347
88	* tau Phe	0.269095	-48.809874	5.698
106	HD 224870	0.330214	49.981557	6.217
107	HD 224865	0.333830	-50.337370	5.524
122	* tet Oct	0.398748	-77.065725	4.783
124	HD 224893	0.404233	61.222800	5.567
128	HD 224890	0.414410	73.611846	6.492
137	HD 224906	0.432705	42.367143	6.24
145	*  29 Psc	0.456034	-3.027503	5.1
154	*  30 Psc	0.490081	-6.014071	4.41
171	*  85 Peg	0.543120	27.081833	5.75
183	* zet Scl	0.583029	-29.720441	5.022
186	*  31 Psc	0.600695	8.956825	6.325
194	* c Psc	0.623759	8.485464	5.69
207	HD 225009	0.650386	66.098963	5.842
238	HD 225045	0.739534	-20.045883	6.238
253	HD 225069	0.782725	-24.145145	6.443
274	HD 225094	0.857148	63.640517	6.22
301	*   2 Cet	0.934949	-17.335991	4.536
302	V* V398 Cep	0.965171	66.712186	6.323
330	*   9 Cas	1.056927	62.287664	5.884
343	HD 225197	1.082462	-16.529037	5.769
345	HD 225200	1.084655	-29.268822	6.39
355	*   3 Cet	1.125495	-10.509522	4.924
365	HD 225218	1.152435	42.092524	6.14
377	HD 225253	1.172116	-71.436890	5.585
379	HD 225216	1.174922	67.166445	5.676
394	HD 225239	1.223853	34.659667	6.11
399	HD 225276	1.233329	26.648771	6.25
410	HD 225292	1.254934	27.674791	6.462
417	HD      6	1.265928	-0.503036	6.298
418	V* V567 Cas	1.275629	61.313970	5.791
443	*  33 Psc	1.333922	-5.707620	4.61
476	*  86 Peg	1.424840	13.396268	5.537
522	HD    142	1.579897	-49.075186	5.76
531	*  10 Cas	1.610572	64.196158	5.59
544	HD    166	1.653267	29.021504	6.07
560	HD    203	1.708693	-23.107540	6.173
602	HD    256	1.826108	-17.386993	6.203
635	*   4 Cet	1.933797	-2.548680	6.43
636	HD    319	1.945415	-22.508557	5.923
655	HD    344	2.014529	-33.529325	5.662
664	*   5 Cet	2.050398	-2.447706	6.22
671	HD    360	2.073052	-8.824112	5.98
677	* alf And	2.096916	29.090431	2.06
695	HD    371	2.136910	63.204033	6.42
696	V* CF Cet	2.139571	-17.578155	6.13
716	HD    417	2.217233	25.462985	6.246
728	HD    434	2.250670	28.247542	6.47
729	*  87 Peg	2.260103	18.211965	5.555
730	HD    469	2.259971	-54.001955	6.33
746	* bet Cas	2.294522	59.149781	2.27
765	* eps Phe	2.352667	-45.747424	3.87
798	HD    565	2.467151	-62.296794	6.33
813	*  34 Psc	2.509179	11.145816	5.53
814	* gam03 Oct	2.509052	-82.224047	5.283
840	HD    587	2.578630	-5.248588	5.844
841	*  22 And	2.580194	46.072271	5.04
873	HD    645	2.678475	-12.579898	5.849
910	*   6 Cet	2.816075	-15.467978	4.89
930	* kap02 Scl	2.893420	-27.799720	5.404
950	* tet Scl	2.933421	-35.133115	5.239
967	HD    743	2.996188	48.152398	6.162
983	HD    787	3.041602	-17.938251	5.265
1057	HD    874	3.289593	16.921457	6.5
1067	* gam Peg	3.308968	15.183598	2.84
1074	HD   1032	3.331758	-84.993977	5.77
1076	HD    895	3.349672	26.987546	6.277
1096	HD    942	3.426017	-26.022351	5.937
1099	HD    943	3.434912	-26.284963	6.119
1123	HD    952	3.509495	33.206041	6.25
1144	HD   1002	3.584125	-27.531395	6.46
1158	V* AD Cet	3.615128	-7.780529	5.12
1168	* chi Peg	3.650685	20.206703	4.8
1170	*   7 Cet	3.660070	-18.932863	4.46
1191	HD   1064	3.727148	-9.569563	5.749
1193	HD   1048	3.732910	22.284226	6.234
1195	HD   1089	3.742757	-34.904223	6.159
1196	*  35 Psc	3.745168	8.820961	6.01
1208	HD   1075	3.778961	31.535726	6.34
1215	HD   1083	3.794020	27.283441	6.342
1236	V* S Scl	3.842775	-32.045269	6.2
1269	HD   1142	3.978522	61.000176	6.432
1288	HD   1187	4.036945	-31.446391	5.642
1302	HD   1185	4.089704	43.595051	6.15
1319	*  36 Psc	4.141841	8.240157	6.121
1331	HD   1256	4.176426	-20.210061	6.491
1339	HD   1255	4.190326	10.244781	6.49
1354	HD   1239	4.237680	61.533186	5.737
1366	* tet And	4.272927	38.681636	4.61
1372	HD   1279	4.287683	47.947406	5.852
1402	HD   1343	4.386263	-19.051094	6.446
1415	V* AO Cas	4.429430	51.433088	6.14
1421	HD   1367	4.448744	1.688730	6.176
1444	HD   1388	4.495286	-13.455641	6.5
1465	HD   1419	4.571858	11.206215	6.045
1473	* sig And	4.581906	36.785225	4.52
1493	HD   1439	4.659409	31.517228	5.875
1499	HD   1461	4.674449	-8.053001	6.46
1501	*  26 And	4.675704	43.791141	6.11
1502	HD   1483	4.677337	-43.235569	6.328
1562	* iot Cet	4.856977	-8.823919	3.55
1575	HD   1527	4.923164	40.729465	6.34
1599	* zet Tuc	5.017744	-64.874794	4.23
1630	HD   1606	5.101672	30.935614	5.869
1639	HD   1601	5.128871	48.968633	6.47
1645	* d Psc	5.149425	8.190272	5.37
1647	* pi. Tuc	5.162676	-69.624919	5.499
1657	HD   1632	5.189654	32.911187	5.794
1686	* rho And	5.280286	37.968605	5.18
1706	HD   1801	5.369884	-77.426882	5.959
1708	* iot Scl	5.379993	-28.981470	5.167
1728	V* T Cet	5.442803	-20.058025	5.74
1772	*  42 Psc	5.606179	13.482488	6.24
1803	*   9 Cet	5.715785	-12.209436	6.39
1821	HD   1879	5.768296	-15.942531	6.425
1902	NGC   104	6.022329	-72.081444	4.09
1921	HD   1976	6.065225	52.019918	5.58
1939	HD   2023	6.123540	-2.219063	6.067
1948	*  43 Psc	6.158980	14.315517	6.46
1960	*  12 Cas	6.197939	61.831058	5.377
1982	HD   2054	6.276710	53.046782	5.719
2006	*  44 Psc	6.350868	1.939692	5.77
2021	* bet Hyi	6.437793	-77.254246	2.79
2072	* kap Phe	6.550839	-43.679831	3.94
2081	* alf Phe	6.571048	-42.305987	2.38
2086	HD   2268	6.590630	-18.693632	6.266
2100	*  10 Cet	6.655878	-0.049522	6.192
2159	HD   2363	6.811282	-25.547173	5.969
2178	HD   2358	6.879455	16.025483	6.432
2210	* eta Scl	6.982074	-33.007166	4.81
2213	*  46 Psc	6.993609	19.514038	6.38
2219	*  47 Psc	7.012145	17.893127	5.06
2224	*  48 Psc	7.052929	16.445068	6.039
2225	HD   2421	7.056956	44.394469	5.173
2237	HD   2475	7.087898	-20.335049	6.44
2240	HD   2490	7.110505	-39.914999	5.415
2256	HD   2529	7.179693	-50.532857	6.265
2270	HD   2507	7.236096	36.899693	6.273
2337	HD   2630	7.466238	-14.864109	6.131
2353	*  12 Cet	7.509827	-3.957327	5.72
2355	*  28 And	7.530688	29.751558	5.214
